trans_id,lang,translation
   ביחר.דובק חשמונאים 63,HE,   ביחר.דובק חשמונאים 63
   ביחר.דובק חשמונאים 63,AR,بيت حروشت. دوبِك حشمونئيم 63
   ביחר.דובק חשמונאים 63,EN,Dubek Factory Hashmonai'm 63
   בני-אפרים 226 ביס.עמל,EN,Bne Efrayim 226 Amal School
   בני-אפרים 226 ביס.עמל,HE,   בני-אפרים 226 ביס.עמל
   בני-אפרים 226 ביס.עמל,AR,بني إفرايم 226 مدرسة عَمال
   בני-אפרים-בנק הפועלים,AR,بني إفرايم - بنك هبوعليم
   בני-אפרים-בנק הפועלים,EN,Bnie Efraim - Bank HaPoalim
   בני-אפרים-בנק הפועלים,HE,   בני-אפרים-בנק הפועלים
   שלבים מול 20 ב.מרכזים,EN,Shlavim mul 20 Merkazim House
   שלבים מול 20 ב.מרכזים,HE,   שלבים מול 20 ב.מרכזים
   שלבים מול 20 ב.מרכזים,AR,شلڤيم مول 20 ب. مركزيم
  בן גוריון 11/א.מודיעין,EN,Ben Gurion 11/A. Modi'in
  בן גוריון 11/א.מודיעין,HE,  בן גוריון 11/א.מודיעין
  בן גוריון 11/א.מודיעין,AR,بن غوريون 11/ أ. موديعين
 בני אפרים 206 מעוז אביב,HE, בני אפרים 206 מעוז אביב
 בני אפרים 206 מעוז אביב,EN,Bne Efraim 206 Maoz Aviv
 בני אפרים 206 מעוז אביב,AR,بني إفرايم 206 معوز أفيف
1006/1004,EN,1006/1004
1006/1004,HE,1006/1004
1006/1004,AR,1006/1004
1006/1014,AR,1006/1014
1006/1014,EN,1006/1014
1006/1014,HE,1006/1014
1006/1036,AR,1006/1036
1006/1036,HE,1006/1036
1006/1036,EN,1006/1036
1006/1037,AR,1006/1037
1006/1037,HE,1006/1037
1006/1037,EN,1006/1037
1006/1040,EN,1006/1040
1006/1040,HE,1006/1040
1006/1040,AR,1006/1040
1006/1041,EN,1006/1041
1006/1041,HE,1006/1041
1006/1041,AR,1006/1041
1006/אל פאח'ורה,HE,1006/אל פאח'ורה
1006/אל פאח'ורה,EN,Al Fahura/1006
1006/אל פאח'ורה,AR,الفاخورة / 1006
1006/נגריית חמודה,AR,منجرة حمّودة/ 1006
1006/נגריית חמודה,EN,Hamuda Carpentry/1006
1006/נגריית חמודה,HE,1006/נגריית חמודה
1008/1006,EN,1008/1006
1008/1006,AR,1008/1006
1008/1006,HE,1008/1006
